Model,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
VGG16,0.9761666059494019,0.8836833834648132,0.07278478145599365,1.4540294408798218
ResNet50,0.9831764698028564,0.8004846572875977,0.06296724826097488,0.9729076027870178
InceptionV3,0.9805728197097778,0.9111469984054565,0.05880142003297806,0.49599599838256836
